Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,stock_price_movement
2/03/2018,0.5,0.5,0,1,-0.051151721,1,0.253731343,0.746268657,0.0021,-0.003263348,0.8,0,0,1
5/03/2018,0,1,0,1,-0.004079185,1,0.058823529,0.941176471,0.007,0,0,0,0,1
6/03/2018,0.222222222,0.777777778,0.19047619,0.80952381,-0.92838645,1,0.169354839,0.830645161,-0.0005,-0.8,0.310456122,-0.091169963,0.48,-1
7/03/2018,0.377777778,0.622222222,0.423076923,0.576923077,-1,0.388070153,0.346504559,0.653495441,-0.0346,-0.151949938,0.8,-0.48,0.18240268,1
8/03/2018,0.055555556,0.944444444,0.277777778,0.722222222,-0.189937423,1,0.269230769,0.730769231,0.0235,-0.8,0.304004466,-0.019965876,0.48,-1
9/03/2018,0.727272727,0.272727273,0.466666667,0.533333333,-1,0.380005583,0.37704918,0.62295082,-0.0043,-0.03327646,0.8,-0.15115608,0.48,1
12/03/2018,0,1,0,1,-0.041595575,1,0.125,0.875,0.0066,-0.251926801,0.8,-0.002721984,0.48,1
13/03/2018,0.2,0.8,0.583333333,0.416666667,-0.314908501,1,0.316666667,0.683333333,0.0025,-0.004536641,0.8,-0.262671488,0.48,1
14/03/2018,0.333333333,0.666666667,0.181818182,0.818181818,-0.005670801,1,0.086956522,0.913043478,0.0045,-0.437785813,0.8,-0.005705545,0.48,-1
15/03/2018,0.505494505,0.494505495,0.545454545,0.454545455,-0.547232266,1,0.466176471,0.533823529,-0.0057,-0.009509242,0.8,-0.261193533,0.48,-1
16/03/2018,0.333333333,0.666666667,0.291666667,0.708333333,-0.011886552,1,0.214285714,0.785714286,-0.0051,-0.435322555,0.8,-0.045637502,0.48,1
19/03/2018,0.5,0.5,0.6,0.4,-0.544153194,1,0.341463415,0.658536585,0.006,-0.076062504,0.8,-0.062020569,0.48,-1
20/03/2018,0.636363636,0.363636364,0.35,0.65,-0.09507813,1,0.357142857,0.642857143,-0.0169,-0.103367614,0.8,-0.48,0.073031918,-1
21/03/2018,0.222222222,0.777777778,0.2,0.8,-0.129209518,1,0.293103448,0.706896552,-0.0052,-0.8,0.121719864,-0.48,0.055807731,-1
22/03/2018,0.666666667,0.333333333,0.789473684,0.210526316,-1,0.15214983,0.65,0.35,0.0158,-0.8,0.093012885,-0.073259546,0.48,-1
23/03/2018,0.333333333,0.666666667,0.444444444,0.555555556,-1,0.116266106,0.333333333,0.666666667,-0.0025,-0.122099243,0.8,-0.041496588,0.48,-1
26/03/2018,0,1,0.166666667,0.833333333,-0.152624054,1,0.211538462,0.788461538,-0.0066,-0.069160979,0.8,-0.051160197,0.48,1
27/03/2018,0.428571429,0.571428571,0.5,0.5,-0.086451224,1,0.34375,0.65625,0.0029,-0.085266995,0.8,-0.047038829,0.48,-1
28/03/2018,0,1,0.166666667,0.833333333,-0.106583744,1,0.258064516,0.741935484,0.0131,-0.078398048,0.8,-0.029084035,0.48,1
