Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1(0.8),,lag2(0.6),,stock_price_movement
2/03/2018,0.221674877,0.778325123,0.149494949,0.850505051,-0.129462299,1,0.178540018,0.821459982,0.029196355,-0.165282468,0.8,-0.193699777,0.48,1
5/03/2018,0.22605364,0.77394636,0.155074116,0.844925884,-0.206603085,1,0.210978836,0.789021164,0.016165399,-0.322832962,0.8,-0.106887179,0.48,1
6/03/2018,0.319767442,0.680232558,0.211650485,0.788349515,-0.403541203,1,0.295585413,0.704414587,0.009368949,-0.178145298,0.8,-0.18580797,0.48,-1
7/03/2018,0.308510638,0.691489362,0.279365079,0.720634921,-0.222681623,1,0.280291971,0.719708029,-0.008577868,-0.30967995,0.8,-0.137099266,0.48,-1
8/03/2018,0.28440367,0.71559633,0.305714286,0.694285714,-0.387099937,1,0.309459459,0.690540541,-0.003643421,-0.228498777,0.8,-0.085945927,0.48,-1
9/03/2018,0.221374046,0.778625954,0.309294872,0.690705128,-0.285623471,1,0.291963377,0.708036623,-0.012127378,-0.143243212,0.8,-0.120287544,0.48,-1
12/03/2018,0.348837209,0.651162791,0.292035398,0.707964602,-0.179054015,1,0.313572543,0.686427457,-0.001681856,-0.200479239,0.8,-0.045815105,0.48,1
13/03/2018,0.179487179,0.820512821,0.144508671,0.855491329,-0.250599049,1,0.228169014,0.771830986,-0.003425149,-0.076358508,0.8,-0.317228506,0.48,1
14/03/2018,0.259259259,0.740740741,0.153846154,0.846153846,-0.095448135,1,0.259541985,0.740458015,0.002196216,-0.528714177,0.8,-0.171126223,0.48,1
15/03/2018,0.303030303,0.696969697,0.217171717,0.782828283,-0.660892721,1,0.221218962,0.778781038,0.007741021,-0.285210372,0.8,-0.142001046,0.48,1
16/03/2018,0.261904762,0.738095238,0.153225806,0.846774194,-0.469546083,1,0.234042553,0.765957447,-0.002118572,-0.169380024,0.8,-0.021904376,0.48,1
19/03/2018,0.202380952,0.797619048,0.278350515,0.721649485,-0.21172503,1,0.238197425,0.761802575,0.021506708,-0.036507293,0.8,-0.124196414,0.48,1
20/03/2018,0.16,0.84,0.170854271,0.829145729,-0.045634116,1,0.165775401,0.834224599,0.014196904,-0.206994023,0.8,-0.033809157,0.48,1
21/03/2018,0.393162393,0.606837607,0.401376147,0.598623853,-0.258742529,1,0.406215316,0.593784684,0.014234329,-0.056348594,0.8,-0.057041024,0.48,-1
22/03/2018,0.197183099,0.802816901,0.093023256,0.906976744,-0.070435743,1,0.158068057,0.841931943,-0.003001773,-0.095068374,0.8,-0.031365176,0.48,1
23/03/2018,0.232142857,0.767857143,0.181208054,0.818791946,-0.118835467,1,0.232415902,0.767584098,0.000587849,-0.052275293,0.8,-0.48,0.417321336,1
26/03/2018,0.266666667,0.733333333,0.152249135,0.847750865,-0.065344116,1,0.233590734,0.766409266,0.005374951,-0.8,0.695535561,-0.062561048,0.48,-1
27/03/2018,0.204081633,0.795918367,0.876269621,0.123730379,-1,0.869419451,0.811666667,0.188333333,0.002758473,-0.104268414,0.8,-0.023981656,0.48,-1
28/03/2018,0.274193548,0.725806452,0.262711864,0.737288136,-0.130335517,1,0.267108168,0.732891832,-0.00128695,-0.039969427,0.8,-0.309615824,0.48,-1
