Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,stock_price_movement
9/03/2018,0.36363636,0.63636364,0.23404255,0.76595745,-0.3463134,1,0.24489796,0.75510204,0.0011,-0.07579064,0.8,-0.48,0.24269737,-1
12/03/2018,0.11111111,0.88888889,0.23076923,0.76923077,-0.0947383,1,0.27027027,0.72972973,-0.0107,-0.8,0.404495616,-0.48,0.142161792,-1
13/03/2018,0.45977012,0.54022989,0.51965066,0.48034935,-1,0.50561952,0.46171694,0.53828306,-0.0217,-0.8,0.23693632,-0.48,0.025778558,-1
14/03/2018,0.4137931,0.5862069,0.57692308,0.42307692,-1,0.2961704,0.41772152,0.58227848,-0.0229,-0.8,0.042964264,-0.028215072,0.48,-1
15/03/2018,0.66666667,0.33333333,0.66666667,0.33333333,-1,0.05370533,0.42718447,0.57281553,-0.0005,-0.04702512,0.8,-0.091507824,0.48,-1
16/03/2018,0.1,0.9,0.34615385,0.65384615,-0.0587814,1,0.22608696,0.77391304,-0.0211,-0.15251304,0.8,-0.137019264,0.48,-1
19/03/2018,0.5,0.5,0.2,0.8,-0.1906413,1,0.32894737,0.67105263,-0.0046,-0.22836544,0.8,-0.048185808,0.48,-1
20/03/2018,0.3,0.7,0.10714286,0.89285714,-0.2854568,1,0.20895522,0.79104478,0.0075,-0.08030968,0.8,-0.280222128,0.48,1
21/03/2018,0.16666667,0.83333333,0.2,0.8,-0.1003871,1,0.16504854,0.83495146,0.0012,-0.46703688,0.8,-0.394746048,0.48,-1
22/03/2018,0.1,0.9,0.1025641,0.8974359,-0.5837961,1,0.18947368,0.81052632,-0.0068,-0.65791008,0.8,-0.04740792,0.48,-1
23/03/2018,0.35294118,0.64705882,0.27777778,0.72222222,-0.1081134,1,0.19354839,0.80645161,0,-0.10353344,0.8,-0.0366384,0.48,1
26/03/2018,0.125,0.875,0.125,0.875,-0.1294168,1,0.13513514,0.86486487,0.018,-0.061064,0.8,-0.071693856,0.48,1
27/03/2018,0.23529412,0.76470588,0.16666667,0.83333333,-0.07633,1,0.17525773,0.82474227,0.0076,-0.11948976,0.8,-0.01495824,0.48,1
28/03/2018,0.29166667,0.70833333,0.20895522,0.79104478,-0.1493622,1,0.16470588,0.83529412,0.0147,-0.0249304,0.8,-0.040416576,0.48,-1
