Date,-1,1,-1,1,-1,1,-1,1,avgPrice_chang,lag1,,lag2,,lag3,,stock_price_movement
21/02/2018,0.35294118,0.64705882,0.33928571,0.66071429,-0.3354494,1,0.33596838,0.66403162,-0.0082,-0.09795312,0.8,-0.0767928,0.48,-0.040958179,0.144,1
22/02/2018,0.23529412,0.76470588,0.18918919,0.81081081,-0.1224414,1,0.23287671,0.76712329,0.0449,-0.127988,0.8,-0.136527264,0.48,-0.017078184,0.144,-1
23/02/2018,0.34728034,0.65271967,0.74781439,0.25218561,-0.6165668,1,0.63303189,0.36696811,0.0016,-0.10963352,0.8,-0.48,0.103186498,-0.036146203,0.144,1
26/02/2018,0.3122172,0.68778281,0.28794643,0.71205357,-0.1370419,1,0.30753564,0.69246436,0.0496,-0.8,0.171977496,-0.120487344,0.48,-0.021722054,0.144,1
27/02/2018,0.24305556,0.75694444,0.30911901,0.69088099,-1,0.21497187,0.31,0.69,-0.0089,-0.20081224,0.8,-0.072406848,0.48,-0.076176677,0.144,-1
28/02/2018,0.21839081,0.7816092,0.33729569,0.66270431,-0.2510153,1,0.33207071,0.66792929,-0.0176,-0.12067808,0.8,-0.253922256,0.48,-0.107498794,0.144,1
1/03/2018,0.32857143,0.67142857,0.27147766,0.72852234,-0.1508476,1,0.28088235,0.71911765,0.0149,-0.42320376,0.8,-0.358329312,0.48,-0.144,0.133746157,1
2/03/2018,0.37254902,0.62745098,0.37396122,0.62603878,-0.5290047,1,0.38186158,0.61813843,0.0101,-0.59721552,0.8,-0.48,0.445820525,-0.036804715,0.144,-1
5/03/2018,0.41538462,0.58461539,0.36065574,0.63934426,-0.7465194,1,0.375,0.625,0.0124,-0.8,0.743034208,-0.122682384,0.48,-0.095153328,0.144,-1
6/03/2018,0.4787234,0.5212766,0.35404896,0.64595104,-1,0.92879276,0.36911765,0.63088235,-0.0281,-0.20447064,0.8,-0.31717776,0.48,-0.028877083,0.144,-1
7/03/2018,0.30927835,0.69072165,0.28596187,0.71403813,-0.2555883,1,0.28510029,0.71489971,-0.0009,-0.5286296,0.8,-0.096256944,0.48,-0.04475736,0.144,1
8/03/2018,0.34782609,0.65217391,0.32,0.68,-0.660787,1,0.3223301,0.6776699,0.0054,-0.16042824,0.8,-0.1491912,0.48,-0.014570568,0.144,1
9/03/2018,0.31746032,0.68253968,0.26536313,0.73463687,-0.2005353,1,0.27857143,0.72142857,0.0169,-0.248652,0.8,-0.04856856,0.48,-0.10859053,0.144,-1
12/03/2018,0.33928571,0.66071429,0.33958333,0.66041667,-0.310815,1,0.33094812,0.66905188,-0.0059,-0.0809476,0.8,-0.361968432,0.48,-0.005972688,0.144,-1
13/03/2018,0.28378378,0.71621622,0.2505176,0.7494824,-0.1011845,1,0.26792453,0.73207547,-0.0014,-0.60328072,0.8,-0.01990896,0.48,-0.009638899,0.144,-1
14/03/2018,0.21538462,0.78461539,0.26548673,0.73451327,-0.7541009,1,0.27070707,0.72929293,-0.007,-0.0331816,0.8,-0.032129664,0.48,-0.09123552,0.144,-1
